,AM15_G_wav,wavelength,Energy,N_Photons,Jsc_int
1629,0.090767,2140.0,0.5794392523364486,3.615812889600677e+17,0.06327335530915311
1630,0.089486,2145.0,0.578088578088578,3.589827930527894e+17,0.06335121509711432
1631,0.084639,2150.0,0.5767441860465117,3.4191846124845536e+17,0.06342659798259888
1632,0.08484,2155.0,0.5754060324825986,3.451271541505431e+17,0.06350014778570424
1633,0.0841699999999999,2160.0,0.5740740740740741,3.447904495317375e+17,0.06357366310997734
1634,0.07631,2165.0,0.5727482678983834,3.147688900554232e+17,0.06364361893763007
1635,0.081996,2170.0,0.5714285714285714,3.405716671875e+17,0.06371280698722352
1636,0.080448,2175.0,0.5701149425287356,3.3645708856334554e+17,0.06378395615038945
1637,0.081808,2180.0,0.5688073394495413,3.445100560353798e+17,0.06385519092919804
1638,0.07455,2185.0,0.5675057208237986,3.1611027947115245e+17,0.06392398098785722
1639,0.079068,2190.0,0.5662100456621004,3.375745871049038e+17,0.06399173804747327
1640,0.078992,2195.0,0.5649202733485194,3.3956532120106003e+17,0.06406160655196556
1641,0.071202,2200.0,0.5636363636363636,3.081746292924038e+17,0.06412813772103676
1642,0.07401,2205.0,0.562358276643991,3.225171642906356e+17,0.06419262403924272
1643,0.079315,2210.0,0.5610859728506787,3.47991628680655e+17,0.06426087130970246
1644,0.0762729999999999,2215.0,0.5598194130925508,3.369214547941491e+17,0.06433026997765001
1645,0.0777299999999999,2220.0,0.5585585585585585,3.4568794754812666e+17,0.06439912367044114
1646,0.075453,2225.0,0.5573033707865168,3.3783388299058816e+17,0.0644677595299304
1647,0.0757729999999999,2230.0,0.5560538116591929,3.4155898815158304e+17,0.06453567485498436
1648,0.074299,2235.0,0.5548098434004475,3.3717254031633094e+17,0.06460322049319427
1649,0.073118,2240.0,0.5535714285714286,3.340450231009365e+17,0.06466972015591699
1650,0.070838,2245.0,0.5523385300668151,3.2580067076236915e+17,0.06473480197745615
1651,0.071937,2250.0,0.5511111111111111,3.3307077207376755e+17,0.06479949888132089
1652,0.06769,2255.0,0.549889135254989,3.155010433361041e+17,0.06486290200927225
1653,0.066929,2260.0,0.5486725663716814,3.1403373215725805e+17,0.06492417180277828
1654,0.068137,2265.0,0.5474613686534217,3.218283318843591e+17,0.06498578417726589
1655,0.0648669999999999,2270.0,0.5462555066079295,3.084168033627889e+17,0.06504658327230194
1656,0.0640209999999999,2275.0,0.545054945054945,3.0641026009868224e+17,0.06510563429103203
1657,0.066288,2280.0,0.543859649122807,3.1935675296566074e+17,0.06516547243224659
1658,0.06308,2285.0,0.5426695842450766,3.059052601477139e+17,0.06522500062114141
1659,0.06322,2290.0,0.5414847161572053,3.0860118227269754e+17,0.06528324934701463
1660,0.061265,2295.0,0.5403050108932462,3.010212497578917e+17,0.06534078333038215
1661,0.058824,2300.0,0.5391304347826087,2.909207563735692e+17,0.06539640580552494
1662,0.059171,2305.0,0.5379609544468547,2.945495375275896e+17,0.06545118148519578
1663,0.06387,2310.0,0.5367965367965368,3.200143865317702e+17,0.06550843021162965
1664,0.058141,2315.0,0.5356371490280778,2.932055119091339e+17,0.06556530698359989
1665,0.052031,2320.0,0.5344827586206896,2.6409657835587933e+17,0.06561677451856143
1666,0.056215,2325.0,0.5333333333333333,2.871823425292969e+17,0.06566746683312559
1667,0.056824,2330.0,0.5321888412017167,2.9217039773348077e+17,0.06572051200533849
1668,0.057967,2335.0,0.5310492505353319,2.9997020947931226e+17,0.06577449583807185
1669,0.045836,2340.0,0.5299145299145299,2.3872116762486998e+17,0.06582339697517972
1670,0.0514,2345.0,0.5287846481876333,2.6941905417737062e+17,0.06586932804328496
1671,0.041536,2350.0,0.5276595744680851,2.1911136511446416e+17,0.06591329866216057
1672,0.047473,2355.0,0.5265392781316348,2.5203221642611664e+17,0.06595552429642794
1673,0.050237,2360.0,0.5254237288135594,2.6840855418834538e+17,0.06600197048416855
1674,0.049409,2365.0,0.5243128964059197,2.6566610373679965e+17,0.06604943187921834
1675,0.030817,2370.0,0.5232067510548524,1.667523808618138e+17,0.06608769729493469
1676,0.044147,2375.0,0.5221052631578947,2.4039680171335405e+17,0.0661235748866837
1677,0.042552,2380.0,0.5210084033613446,2.331779584027055e+17,0.06616513049588628
1678,0.030826,2385.0,0.519916142557652,1.6998827673088336e+17,0.06620035950996697
1679,0.037109,2390.0,0.5188284518828452,2.0592524964677094e+17,0.06623306972094095
1680,0.040594,2395.0,0.5177453027139874,2.2668096231373165e+17,0.06627055588565517
1681,0.04415,2400.0,0.5166666666666667,2.4808532778355875e+17,0.06631152388841931
