AM15_G_wav	wavelength
0.24437	1519
0.2645	1520
0.27505	1521
0.26378	1522
0.28004	1523
0.27539	1524
0.25884	1525
0.26745	1526
0.2622	1527
0.27928	1528
0.27244	1529
0.25522	1530
0.26973	1531
0.27839	1532
0.27714	1533
0.26892	1534
0.26686	1535
0.27464	1536
0.27336	1537
0.27202	1538
0.27295	1539
0.26491	1540
0.26904	1541
0.26927	1542
0.27208	1543
0.2721	1544
0.27705	1545
0.27481	1546
0.27309	1547
0.26675	1548
0.27342	1549
0.2699	1550
0.27058	1551
0.27182	1552
0.27132	1553
0.26474	1554
0.26759	1555
0.2631	1556
0.27062	1557
0.26848	1558
0.26808	1559
0.26568	1560
0.27002	1561
0.26756	1562
0.26667	1563
0.26264	1564
0.26728	1565
0.26245	1566
0.26308	1567
0.25722	1568
0.25452	1569
0.24175	1570
0.23507	1571
0.23775	1572
0.23407	1573
0.24145	1574
0.23974	1575
0.24678	1576
0.21602	1577
0.23516	1578
0.23672	1579
0.24464	1580
0.2487	1581
0.24195	1582
0.24755	1583
0.24904	1584
0.25874	1585
0.25569	1586
0.25303	1587
0.25107	1588
0.23233	1589
0.24179	1590
0.24197	1591
0.25225	1592
0.25833	1593
0.25624	1594
0.25823	1595
0.24452	1596
0.24692	1597
0.25421	1598
0.24202	1599
0.2381	1600
0.22323	1601
0.22413	1602
0.22397	1603
0.22842	1604
0.23683	1605
0.2414	1606
0.23296	1607
0.2299	1608
0.22727	1609
0.2176	1610
0.2268	1611
0.23076	1612
0.23719	1613
0.23838	1614
0.24104	1615
0.2305	1616
0.23465	1617
0.24352	1618
0.241	1619
0.23449	1620
0.2343	1621
0.23754	1622
0.24246	1623
0.24269	1624
0.23782	1625
0.23971	1626
0.24078	1627
0.24126	1628
0.24137	1629
0.23651	1630
0.23806	1631
0.23821	1632
0.23267	1633
0.23282	1634
0.23367	1635
0.23539	1636
0.227	1637
0.22007	1638
0.22026	1639
0.21511	1640
0.2196	1641
0.22082	1642
0.21535	1643
0.22355	1644
0.21822	1645
0.21749	1646
0.22768	1647
0.21655	1648
0.21867	1649
0.22526	1650
0.20855	1651
0.22373	1652
0.22277	1653
0.21583	1654
0.22231	1655
0.22101	1656
0.22223	1657
0.22487	1658
0.2212	1659
0.22332	1660
0.22384	1661
0.21908	1662
0.22235	1663
0.22098	1664
0.21178	1665
0.17884	1666
0.21068	1667
0.21459	1668
0.21516	1669
0.22168	1670
0.21879	1671
0.21147	1672
0.21629	1673
0.21575	1674
0.2136	1675
0.21145	1676
0.21229	1677
0.20915	1678
0.21303	1679
0.20558	1680
0.19447	1681
0.20366	1682
0.20906	1683
0.19797	1684
0.21321	1685
0.21026	1686
0.20484	1687
0.21013	1688
0.20718	1689
0.20523	1690
0.19303	1691
0.20708	1692
0.21134	1693
0.20477	1694
0.20968	1695
0.20922	1696
0.18107	1697
0.20739	1698
0.20551	1699
0.19975	1700
0.20396	1702
0.19778	1705
0.1879	1710
0.18965	1715
0.18698	1720
0.17808	1725
0.17407	1730
0.16154	1735
0.16818	1740
0.15481	1745
0.16566	1750
0.15301	1755
0.15998	1760
0.13284	1765
0.14172	1770
0.11484	1775
0.1005	1780
0.07698099999999999	1785
0.088904	1790
0.046931	1795
0.031828	1800
0.014815	1805
0.009691099999999999	1810
0.0032816	1815
0.00098755	1820
0.0012744	1825
5.2041e-06	1830
6.419e-06	1835
6.2703e-08	1840
6.2658e-06	1845
2.9993e-06	1850
2.8396e-07	1855
1.1151e-05	1860
1.6982e-05	1865
2.6662e-10	1870
4.513e-10	1875
7.7505e-05	1880
4.389e-05	1885
0.00022333	1890
0.00012947	1895
8.6221e-07	1900
5.6667e-07	1905
2.3045e-05	1910
1.9947e-05	1915
0.00045069	1920
0.00093615	1925
0.00055242	1930
0.0035935	1935
0.0032821	1940
0.010863	1945
0.016727	1950
0.010036	1955
0.021906	1960
0.028563	1965
0.048847	1970
0.067857	1975
0.075512	1980
0.083063	1985
0.08561299999999999	1990
0.08119	1995
0.038156	2000
0.015001	2005
0.039748	2010
0.026648	2015
0.044981	2020
0.07401000000000001	2025
0.084856	2030
0.096386	2035
0.089781	2040
0.091074	2045
0.067927	2050
0.054906	2055
0.069193	2060
0.061875	2065
0.065676	2070
0.077443	2075
0.086812	2080
0.085102	2085
0.0891	2090
0.08974699999999999	2095
0.086133	2100
0.093153	2105
0.089654	2110
0.091673	2115
0.087588	2120
0.088632	2125
0.08977400000000001	2130
0.090044	2135
0.090767	2140
0.089486	2145
0.08463900000000001	2150
0.08484	2155
0.08416999999999999	2160
0.07631	2165
0.081996	2170
0.08044800000000001	2175
0.08180800000000001	2180
0.07455000000000001	2185
0.079068	2190
0.07899200000000001	2195
0.071202	2200
0.07401000000000001	2205
0.079315	2210
0.07627299999999999	2215
0.07772999999999999	2220
0.07545300000000001	2225
0.07577299999999999	2230
0.074299	2235
0.073118	2240
0.070838	2245
0.071937	2250
0.06769	2255
0.066929	2260
0.068137	2265
0.06486699999999999	2270
0.06402099999999999	2275
0.066288	2280
0.06308	2285
0.06322	2290
0.061265	2295
0.058824	2300
0.059171	2305
0.06387	2310
0.058141	2315
0.052031	2320
0.056215	2325
0.056824	2330
0.057967	2335
0.045836	2340
0.0514	2345
0.041536	2350
0.047473	2355
0.050237	2360
0.049409	2365
0.030817	2370
0.044147	2375
0.042552	2380
0.030826	2385
0.037109	2390
0.040594	2395
0.04415	2400
0.033599	2405
0.033813	2410
0.0273	2415
0.02659	2420
0.033078	2425
0.045099	2430
0.014878	2435
0.043249	2440
0.020798	2445
0.013611	2450
0.024853	2455
0.033363	2460
0.024148	2465
0.016727	2470
0.016455	2475
0.0080395	2480
0.0056102	2485
0.0035113	2490
0.0028772	2495
0.0070642	2500
0.0015191	2505
0.0022163	2510
0.0005188	2515
0.00037054	2520
4.1393e-05	2525
6.3593e-07	2530
1.7502e-07	2535
3.7716e-07	2540
5.3758e-11	2545
2.8222e-13	2550
1.0435e-09	2555
3.102e-11	2560
1.5955e-14	2565
1.5258e-18	2570
1.0786e-27	2575
3.8214e-22	2580
1.7194e-34	2585
5.4793e-31	2590
2.2838e-33	2595
4.4912e-28	2600
5.8053e-35	2605
5.9447e-34	2610
1.1196e-37	2615
5.6505e-29	2620
3.8687e-28	2625
2.8026e-45	2630
3.9027e-16	2635
1.175e-16	2640
8.998800000000001e-19	2645
1.4295e-19	2650
1.3133e-27	2655
2.6068e-25	2660
1.1123e-37	2665
0	2670
0	2675
0	2680
0	2685
1.0226e-29	2690
7.1284e-33	2695
0	2700
